rank,district,name,crashes,top_reason
3,1,North Torrey Pines Road & Torrey Pines Scenic Drive,4,Arterial
8,1,Genesee Avenue & Scripps Hospital Drive,2,Arterial
18,1,La Jolla Boulevard & Via del Norte,2,Arterial
37,1,La Jolla Boulevard & Rosemont Street,4,Arterial
38,1,Mission Boulevard & Missouri Street,2,Arterial
40,1,Gilman Drive & Via Alicante,4,Secondary arterial
62,1,Prospect Street & Silverado Street,2,Secondary arterial
88,1,North Torrey Pines Road & Science Park Road,0,Arterial
92,1,Exploration Drive & North Torrey Pines Road,3,Arterial
102,1,La Jolla Shores Drive & North Torrey Pines Road,0,Arterial
106,1,La Jolla Shores Drive & Shellback Way,2,Secondary arterial
107,1,Electric Avenue & La Jolla Boulevard,2,Arterial
186,1,La Jolla Boulevard & Tourmaline Street,4,Arterial
188,1,La Jolla Village Drive,0,Arterial
216,1,Holiday Court & Villa La Jolla Drive,3,Secondary arterial
225,1,La Jolla Boulevard & Palomar Avenue,3,Arterial
238,1,Ivanhoe Avenue & Torrey Pines Road,2,Arterial
245,1,Carmel Valley Road & Old El Camino Real,4,Major arterial
247,1,Nobel Drive & Villa La Jolla Drive,3,Secondary arterial
266,1,Herschel Avenue & Prospect Street,3,Secondary arterial
268,1,La Jolla Boulevard & Mira Monte,1,Arterial
269,1,Ingraham Street & La Cima Drive,2,Arterial
277,1,North Torrey Pines Road & Pangea Drive,4,Arterial
284,1,Ingraham Street & Yosemite Street,3,Last crash ~5 years ago
322,1,La Jolla Village Square Driveway & Nobel Drive,3,Secondary arterial
328,1,Girard Avenue & Kline Street,3,Secondary arterial
335,1,La Jolla Scenic Way & La Jolla Village Drive,4,Arterial
343,1,Balboa Avenue & Grand Avenue,0,Arterial
361,1,North Torrey Pines Court & North Torrey Pines Road,1,Arterial
363,1,High Avenue & Torrey Pines Road,4,Arterial
367,1,Amalfi Street & Torrey Pines Road,4,Arterial
377,1,Everts Street & Grand Avenue,0,Arterial
380,1,Expedition Way & North Torrey Pines Road,2,Arterial
407,1,La Jolla Boulevard & Tyrian Street,1,Arterial
411,1,Beryl Street & Jewell Street,3,Secondary arterial
419,1,Glenbrook Way & Torrey Pines Road,1,Arterial
428,1,Genesee Avenue & Scripps Hospital Drive,1,~3 lanes
429,1,Ingraham Street & La Mancha Drive,1,Arterial
457,1,La Jolla Boulevard & Marine Street,4,Arterial
462,1,Carmel Mountain Road & Vista Sorrento Parkway,2,Arterial
469,1,Mission Bay Drive & North Mission Bay Drive,1,Secondary arterial
476,1,East Mission Bay Drive & Mission Bay Drive,2,Secondary arterial
477,1,La Jolla Boulevard & Playa del Norte,1,Arterial
479,1,La Jolla Scenic Drive South & Soledad Mountain Road,2,Secondary arterial
493,1,Greenhouse Lane & Pepper Canyon Drive,3,Secondary arterial
500,1,Mission Bay Drive & Rosewood Street,3,Arterial
501,1,Gilman Drive,3,Last crash ~5 years ago
526,1,El Camino Real,2,Arterial
530,1,Genesee Avenue & Science Center Drive,2,Arterial
543,1,Caminito Pacifica Trail & San Dieguito Road,3,Secondary arterial
551,1,Camino del Oro & La Jolla Shores Drive,1,Secondary arterial
555,1,North Torrey Pines Road,1,Arterial
578,1,La Jolla Boulevard & Turquoise Street,3,Arterial
600,1,Spindrift Drive & Torrey Pines Road,2,Arterial
610,1,Haines Street & Oliver Avenue,2,4-leg intersection
622,1,Grand Avenue,3,Arterial
625,1,Intersection 98dd9335,2,Arterial
636,1,Calle Clara & La Jolla Shores Drive,2,Secondary arterial
642,1,Gilman Drive,1,4-leg intersection
650,1,Bayard Street & Grand Avenue,0,Arterial
651,1,Beryl Street & Mission Boulevard,0,Arterial
652,1,Callan Road,1,Arterial
667,1,North Torrey Pines Road & Salk Institute Road,0,Arterial
677,1,Ashley Falls Drive & Del Mar Heights Road,4,Arterial
680,1,Sorrento Valley Boulevard & Sorrento Valley Road,3,Arterial
683,1,Fanuel Street & Grand Avenue,0,Arterial
686,1,Carmel Valley Road & Edgewood Bend Court,0,Secondary arterial
689,1,Exchange Place & Prospect Street,4,Secondary arterial
694,1,Avenida de la Playa & La Jolla Shores Drive,4,Secondary arterial
703,1,Fay Avenue & Prospect Street,2,Secondary arterial
715,1,Park Row & Prospect Place,3,Secondary arterial
742,1,Girard Avenue & Silverado Street,2,Secondary arterial
746,1,La Jolla Boulevard & Sea Ridge Drive,4,Arterial
761,1,Donaldson Drive & Garnet Avenue,4,Arterial
764,1,La Jolla Village Drive & North Torrey Pines Road,0,Arterial
814,1,Del Mar Heights Road & Durango Drive,2,Arterial
821,1,Grand Avenue & Haines Street,0,Arterial
829,1,San Andres Drive & Via de la Valle,3,Arterial
836,1,Grand Avenue & Morrell Street,1,Arterial
865,1,North Torrey Pines Road,1,Last crash ~3 years ago
866,1,Crown Point Drive & Ingraham Street,2,Arterial
887,1,Kilroy Driveway & Valley Centre Drive,2,Secondary arterial
888,1,Prospect Street,0,Secondary arterial
890,1,North Torrey Pines Road,0,Last crash ~3 years ago
891,1,Carmel Mountain Road & Sorrento Valley Road,0,Secondary arterial
905,1,Clairemont Drive & Mission Bay Drive,4,Secondary arterial
920,1,Charlotte Street & Torrey Pines Road,1,Arterial
924,1,Jewell Street & Missouri Street,2,4-leg intersection
949,1,La Jolla Shores Drive & Torrey Pines Lane,2,Arterial
952,1,Coast Walk & Torrey Pines Road,3,Arterial
964,1,Cass Street & Grand Avenue,1,Arterial
985,1,Grand Avenue & Olney Street,0,Arterial
987,1,Carmel Mountain Road & Vista Sorrento Parkway,3,Arterial
999,1,Mc Graw Street & Morena Boulevard,3,Arterial
4,2,Sunset Cliffs Boulevard,4,Arterial
25,2,West Washington Street,1,Arterial
26,2,Balboa Avenue & Mount Everest Boulevard,2,Arterial
29,2,Cauby Street & Rosecrans Street,4,Arterial
31,2,Chatsworth Boulevard & Garrison Street,2,Secondary arterial
36,2,Clairemont Drive & Knapp Street,4,Arterial
44,2,West Point Loma Boulevard,4,Secondary arterial
51,2,Cañon Street & Del Mar Avenue,4,Arterial
56,2,Malaga Street & Rosecrans Street,2,Arterial
61,2,Goldsmith Street & Rosecrans Street,2,Arterial
68,2,Pescadero Avenue & Sunset Cliffs Boulevard,4,Secondary arterial
78,2,Clairemont Drive & Dalles Avenue,1,Arterial
79,2,Mc Cain Road & North Harbor Drive,0,Arterial
80,2,Kamloop Avenue & Moraga Avenue,3,Secondary arterial
95,2,Mission Boulevard & San Juan Place,4,Arterial
97,2,Littlefield Street & Morena Boulevard,2,Arterial
103,2,Balboa Avenue & Balboa Way,1,Arterial
116,2,Galveston Street & Milton Street,3,Secondary arterial
120,2,Carleton Street & Rosecrans Street,2,Arterial
130,2,Frankfort Street & Morena Boulevard,2,Secondary arterial
137,2,Asher Street & Morena Boulevard,2,Arterial
144,2,Nimitz Boulevard & Sunset Cliffs Boulevard,1,Arterial
148,2,Orchard Avenue & Sunset Cliffs Boulevard,4,Secondary arterial
149,2,Ingraham Street & Perez Cove Way,1,Arterial
158,2,Conde Street & Congress Street,2,Secondary arterial
168,2,Camino del Rio West & Jefferson Street,1,Arterial
170,2,James Street & Rosecrans Street,2,Arterial
173,2,Chatsworth Boulevard & Evergreen Street,3,Secondary arterial
175,2,Genesee Avenue & Genesee East Court,4,Arterial
196,2,Point Loma Avenue & Sunset Cliffs Boulevard,4,Secondary arterial
198,2,North Harbor Drive,2,Arterial
200,2,Sunset Place & Taylor Street,3,Arterial
212,2,Mission Boulevard & San Jose Place,4,Arterial
213,2,Clairemont Drive & Joplin Avenue,3,Arterial
218,2,Froude Street & Voltaire Street,4,Secondary arterial
224,2,Balboa Avenue & Mount Rias Place,4,Arterial
226,2,Clairemont Drive & Feather Avenue,3,Arterial
233,2,Moore Street & Old Town Avenue,4,Secondary arterial
250,2,Burgener Boulevard & Field Street,2,Secondary arterial
256,2,Freeman Street & Rosecrans Street,4,Arterial
257,2,Clairemont Drive & Hiawatha Way,4,Arterial
262,2,Old Town Avenue & San Diego Avenue,3,Secondary arterial
264,2,Balboa Arms Drive & Mount Abernathy Avenue,1,Secondary arterial
271,2,Ibsen Street & Rosecrans Street,2,Arterial
278,2,Juan Street & Mason Street,2,Secondary arterial
279,2,Loma Riviera Drive & West Point Loma Boulevard,4,Secondary arterial
286,2,Mendocino Boulevard & Voltaire Street,1,Secondary arterial
308,2,Blackfoot Avenue & Clairemont Drive,1,Arterial
314,2,Couts Street,2,Arterial
323,2,Clairemont Drive & Merrimac Avenue,3,Secondary arterial
329,2,Mount Acadia Boulevard & Mount Alifan Drive,4,Secondary arterial
344,2,Clairemont Drive & Emet Court,2,Arterial
347,2,Catalina Boulevard & Cañon Street,2,Arterial
348,2,Cañon Street & Talbot Street,4,Arterial
369,2,Frankfort Street & Milton Street,1,Secondary arterial
372,2,Rosecrans Street & Seville Street,4,Arterial
374,2,Rosecrans Street & Sterne Street,3,Arterial
378,2,Clairemont Drive & Erie Street,2,Arterial
398,2,Clairemont Mesa Boulevard & Pocahontas Avenue,0,Secondary arterial
399,2,Clairemont Drive & Fairfield Street,3,Arterial
401,2,Calle Neil & Clairemont Drive,4,Arterial
402,2,Admiral Boland Way,1,Secondary arterial
410,2,Balboa Avenue,0,Arterial
416,2,Bernice Drive & Catalina Boulevard,4,Secondary arterial
436,2,Clairemont Mesa Boulevard & Doliva Drive,2,Arterial
448,2,Hortensia Street & San Diego Avenue,1,Secondary arterial
449,2,Abbott Street & Long Branch Avenue,2,4-leg intersection
455,2,Clairemont Drive & Feather Avenue,3,Arterial
465,2,Anchorage Lane & Talbot Street,2,Secondary arterial
470,2,Catalina Boulevard & Talbot Street,2,Secondary arterial
471,2,Ebers Street & Niagara Avenue,2,4-leg intersection
481,2,Ashford Street & Salizar Street,2,4-leg intersection
486,2,Balboa Avenue & Mount Culebra Avenue,2,Arterial
490,2,Pacific Highway & Sports Arena Boulevard,2,Arterial
499,2,Atascadero Drive & Nimitz Boulevard,4,Arterial
503,2,Mission Boulevard & San Gabriel Place,4,Secondary arterial
505,2,Rosecrans Street & Shelter Island Drive,0,Arterial
