rank,intersection_name,longitude,latitude,risk_score,percentile,in_top200
1,Linda Vista Court & Linda Vista Road,-117.163933,32.79383500000001,0.064289,100.0,True
2,Genesee Avenue & Health Center Drive,-117.15637220000002,32.7926418,0.062142,100.0,True
3,Camino del Este & Camino del Rio North,-117.14355993333135,32.769037066670315,0.061505,100.0,True
4,6th Avenue & Robinson Avenue,-117.15952994999974,32.74695925000723,0.061329,100.0,True
5,Meadowbrook Drive & South Meadowbrook Drive,-117.030775,32.702516700000004,0.060506,100.0,True
6,National Avenue,-117.15171929999998,32.70528870000001,0.060385,100.0,True
7,Mission Boulevard & West Mission Bay Drive,-117.2512464999963,32.77202180000023,0.059996,100.0,True
8,Pacific Highway & West Hawthorn Street,-117.1719414,32.72559840000002,0.059518,100.0,True
9,8th Avenue & East Market Street,-117.15738700000001,32.711507200000014,0.059517,100.0,True
10,Fairmount Avenue & Mission Gorge Road,-117.10134990000002,32.7812636,0.059408,100.0,True
11,Clairemont Mesa Boulevard & Moraga Avenue,-117.21320060000001,32.828705400000004,0.059382,100.0,True
12,33rd Street & East Market Street,-117.12314040000001,32.71178129999999,0.059032,100.0,True
13,Main Street & Oleander Avenue,-117.03277339999998,32.594941,0.058786,100.0,True
14,Broadway,-117.1259505,32.714521500000004,0.058673,100.0,True
15,La Jolla Parkway & Torrey Pines Road,-117.25272399999999,32.850494699999985,0.058673,100.0,True
16,Coronado Avenue & Saturn Boulevard,-117.0926945,32.57655,0.058496,100.0,True
17,La Jolla Shores Drive & La Jolla Shores Lane,-117.25120019999999,32.87101040000002,0.058412,100.0,True
18,El Cajon Boulevard & Fairmount Avenue,-117.1008364,32.7550509,0.05816,100.0,True
19,Genesee Avenue & Genesee Cove,-117.2050941,32.85657949999999,0.05816,100.0,True
20,Fairmount Avenue & Home Avenue,-117.09982280000001,32.7289095,0.058,100.0,True
21,Mira Mesa Boulevard & Scranton Road,-117.201614,32.89256880000001,0.057997,100.0,True
22,Newport Avenue & Sunset Cliffs Boulevard,-117.24761279999998,32.7447491,0.057685,100.0,True
23,Annrae Street & Mesa College Drive,-117.1533879,32.80198819999999,0.057652,100.0,True
24,32nd Street & F Street,-117.12531320000001,32.713807900000006,0.057553,100.0,True
25,Swift Avenue & University Avenue,-117.1193126,32.749767000000006,0.057367,100.0,True
26,26th Street & East Market Street,-117.1381654,32.71161700000001,0.057319,100.0,True
27,28th Street & K Street,-117.1338526,32.70847750000001,0.057267,100.0,True
28,Dove Street & West Washington Street,-117.1686618,32.7498037,0.057082,100.0,True
29,7th Avenue & B Street,-117.15836300000001,32.71781200000001,0.056978,100.0,True
30,Fairmount Avenue & Meade Avenue,-117.1018739,32.757092799999995,0.056875,100.0,True
31,Balboa Avenue & Garnet Avenue,-117.22696320000001,32.802738899999994,0.056853,100.0,True
32,1st Avenue & West A Street,-117.1638273,32.71882730000002,0.056807,100.0,True
33,Fordham Street & Midway Drive,-117.2134708,32.75112359999998,0.056766,100.0,True
34,Camino de la Plaza & Sipes Lane,-117.04589100000001,32.544746,0.05673,100.0,True
35,8th Avenue & University Avenue,-117.15741969999999,32.74837999999998,0.056708,100.0,True
36,16th Street & G Street,-117.14946600000002,32.71263170000001,0.056682,100.0,True
37,Oro Vista Road,-117.07883190000001,32.56509310000001,0.056672,100.0,True
38,Bay Boulevard & Marina Parkway,-117.09925100000001,32.63587200000001,0.056642,100.0,True
39,El Cajon Boulevard & Illinois Street,-117.12769980000002,32.75525650000001,0.056613,100.0,True
40,8th Avenue & F Street,-117.1574228,32.71362290000001,0.05643,100.0,True
41,Logan Avenue & South Euclid Avenue,-117.08511400000002,32.696751,0.056272,100.0,True
42,Voltaire Street & Worden Street,-117.2303252,32.7409487,0.05627,99.9,True
43,Grand Avenue & Jewell Street,-117.2384256,32.79835219999998,0.056269,99.9,True
44,15th Street & G Street,-117.1503759,32.712626499999985,0.056216,99.9,True
45,El Cajon Boulevard & Marlborough Avenue,-117.10614249999999,32.7550977,0.056202,99.9,True
46,Linda Vista Road & Tait Street,-117.172794,32.78077350000001,0.056136,99.9,True
47,14th Street & East Market Street,-117.15192,32.71153009999999,0.056114,99.9,True
48,Genesee Avenue & Nobel Drive,-117.2136901,32.86691620000002,0.056114,99.9,True
49,Linda Vista Road & Ulric Street,-117.170306,32.78649010000001,0.056079,99.9,True
50,Camino del Rio North & Fairmount Avenue,-117.10162329999999,32.78014480000002,0.056063,99.9,True
51,College Avenue & College Way,-117.06685100000001,32.7602113,0.056063,99.9,True
52,28th Street & C Street,-117.1338073,32.71689469999999,0.05584,99.9,True
53,Camino de la Reina & Hotel Circle North,-117.16662650000002,32.761730199999995,0.055836,99.9,True
54,Briarwood Road & Goode Street,-117.0334887,32.6841028,0.055836,99.9,True
55,Ocean View Boulevard & South 30th Street,-117.12951050000001,32.701178600000006,0.055825,99.9,True
56,Cardiff Street & San Vicente Street,-117.02440599999998,32.71233,0.055728,99.9,True
57,6th Avenue & E Street,-117.15926120000002,32.71466110000001,0.055631,99.9,True
58,Boston Avenue & South 28th Street,-117.1337633,32.693829499999985,0.055624,99.9,True
59,College Ave (Frontage) & College Grove Drive,-117.05357130001123,32.744439250004426,0.055624,99.9,True
60,Carmel Valley Road & Del Mar Heights Road,-117.1921231,32.9607254,0.055621,99.9,True
61,Ocean View Boulevard & South 28th Street,-117.13385420000002,32.701159300000015,0.055462,99.9,True
62,Miramar Road & Padgett Street,-117.1270075,32.8936777,0.055433,99.9,True
63,Carmel Valley Road & Pacific Highlands Ranch Parkway,-117.1907235,32.962980200000004,0.055312,99.9,True
64,8th Avenue & Broadway,-117.15743920000001,32.71571490000003,0.055271,99.9,True
65,Border Village Road & East San Ysidro Boulevard,-117.0389756,32.55123679999997,0.055171,99.9,True
66,Grand Avenue & Lamont Street,-117.23478730000001,32.799188099999995,0.055144,99.9,True
67,Union Square Lane,-117.07897229999999,32.7508927,0.055119,99.9,True
68,54th Street & Montezuma Road,-117.07948200000001,32.77117930000001,0.055119,99.9,True
69,Kearny Villa Road & Mesa College Drive,-117.1509159,32.80997699999999,0.055021,99.9,True
70,11th Avenue & F Street,-117.15467800000002,32.713650000000015,0.054845,99.9,True
71,University Avenue & Wilson Avenue,-117.11681400000002,32.74974800000001,0.054767,99.9,True
72,32nd Street & East Market Street,-117.1252792,32.71168730000001,0.054662,99.9,True
73,Lightwave Avenue & Ruffin Court,-117.12668390000002,32.82871140000001,0.054647,99.9,True
74,Euclid Avenue & Westover Place,-117.08490814999993,32.72479185000001,0.054629,99.9,True
75,43rd Street & El Cajon Boulevard,-117.10189200000002,32.7550658,0.054623,99.9,True
76,11th Avenue & C Street,-117.15469054999993,32.716807800000964,0.0546,99.9,True
77,Montezuma Plaza & Montezuma Road,-117.07051129999999,32.770769400000006,0.054543,99.9,True
78,4th Avenue & Cedar Street,-117.16113759999999,32.72196139999999,0.054153,99.9,True
79,Euclid Avenue & Wightman Street,-117.09232450000002,32.747369,0.054153,99.9,True
80,Dairy Mart Road & West San Ysidro Boulevard,-117.06239299999999,32.559586,0.054121,99.9,True
81,Camino del Norte & Paseo Lucido,-117.07216080000002,32.99098590000002,0.05412,99.9,True
82,Clay Avenue & South 30th Street,-117.12951319999999,32.7032736,0.054018,99.9,True
83,Tait Street & Ulric Street,-117.16944220000002,32.7810147,0.053712,99.9,True
84,10th Avenue & Broadway,-117.1556095,32.715724600000016,0.053596,99.9,True
85,East Market Street & Euclid Avenue,-117.0849926,32.710501,0.053445,99.9,True
86,10th Avenue & C Street,-117.15561830000001,32.716802900000005,0.053445,99.9,True
87,Paradise Valley Road & South Woodman Street,-117.04641519999998,32.688976499999995,0.053302,99.9,True
88,Narragansett Avenue & Sunset Cliffs Boulevard,-117.2490656,32.74305539999999,0.053284,99.9,True
89,7th Avenue & Broadway,-117.15835210000002,32.71571,0.053169,99.9,True
90,Poway Road & Springbrook Drive,-117.08403400000002,32.945594200000016,0.053077,99.9,True
91,Ocean View Hills Parkway & Otay Mesa Road,-117.01430690000001,32.5685215,0.052825,99.9,True
92,Camino de la Reina & Mission Center Road,-117.1537571,32.76812350000001,0.052727,99.9,True
93,Abbott Street & Newport Avenue,-117.25108399999999,32.746882400000004,0.05272,99.9,True
94,25th Street & Island Avenue,-117.14024839999999,32.710534200000005,0.052704,99.9,True
95,Camino Santa Fe & Frost-Mar Place,-117.1726505,32.877746900000005,0.052701,99.9,True
96,Canyon Crest Drive & College Avenue,-117.06775739999999,32.776800400000006,0.052561,99.9,True
97,Normal Street & Washington Street,-117.147636,32.752795400000004,0.052525,99.9,True
98,Friars Road & Ulric Street,-117.16302780000001,32.7708467,0.052512,99.9,True
99,Genesee Avenue & Mount Herbert Avenue,-117.19066650000002,32.826411599999986,0.052507,99.9,True
100,16th Street & Island Avenue,-117.1494665,32.71046579999999,0.052484,99.9,True
